,ticker,date,close
13980762,TZOO,2018-03-19,6.9
13980763,TZOO,2018-03-20,7.1
13980764,TZOO,2018-03-21,7.15
13980765,TZOO,2018-03-22,7.1382
13980766,TZOO,2018-03-23,7.1
13980767,TZOO,2018-03-26,7.1
13980768,TZOO,2018-03-27,7.2501
13981246,UA,2018-03-02,15.23
13981247,UA,2018-03-05,15.56
13981248,UA,2018-03-06,15.73
13981249,UA,2018-03-07,15.5
13981250,UA,2018-03-08,15.29
13981251,UA,2018-03-09,15.18
13981252,UA,2018-03-12,15.24
13981253,UA,2018-03-13,14.58
13981254,UA,2018-03-14,14.02
13981255,UA,2018-03-15,13.83
13981256,UA,2018-03-16,14.08
13981257,UA,2018-03-19,14.07
13981258,UA,2018-03-20,14.01
13981259,UA,2018-03-21,14.07
13981260,UA,2018-03-22,13.71
13981261,UA,2018-03-23,13.72
13981262,UA,2018-03-26,14.46
13981263,UA,2018-03-27,14.32
13984353,UAA,2018-03-02,17.02
13984354,UAA,2018-03-05,17.42
13984355,UAA,2018-03-06,17.62
13984356,UAA,2018-03-07,17.38
13984357,UAA,2018-03-08,17.16
13984358,UAA,2018-03-09,17.05
13984359,UAA,2018-03-12,17.18
13984360,UAA,2018-03-13,16.56
13984361,UAA,2018-03-14,16.08
13984362,UAA,2018-03-15,15.9
13984363,UAA,2018-03-16,16.19
13984364,UAA,2018-03-19,16.15
13984365,UAA,2018-03-20,16.0
13984366,UAA,2018-03-21,15.95
13984367,UAA,2018-03-22,15.73
13984368,UAA,2018-03-23,15.78
13984369,UAA,2018-03-26,16.67
13984370,UAA,2018-03-27,16.44
13990231,UAL,2018-03-02,67.51
13990232,UAL,2018-03-05,67.21
13990233,UAL,2018-03-06,67.52
13990234,UAL,2018-03-07,67.81
13990235,UAL,2018-03-08,69.87
13990236,UAL,2018-03-09,71.55
13990237,UAL,2018-03-12,72.0
13990238,UAL,2018-03-13,72.6
13990239,UAL,2018-03-14,70.74
13990240,UAL,2018-03-15,70.14
13990241,UAL,2018-03-16,70.88
13990242,UAL,2018-03-19,70.13
13990243,UAL,2018-03-20,70.48
13990244,UAL,2018-03-21,69.94
13990245,UAL,2018-03-22,68.45
13990246,UAL,2018-03-23,67.39
13990247,UAL,2018-03-26,68.48
13990248,UAL,2018-03-27,68.18
14002161,UBA,2018-03-02,17.83
14002162,UBA,2018-03-05,17.92
14002163,UBA,2018-03-06,18.19
14002164,UBA,2018-03-07,18.45
14002165,UBA,2018-03-08,18.32
14002166,UBA,2018-03-09,18.2
14002167,UBA,2018-03-12,18.9
14002168,UBA,2018-03-13,19.08
14002169,UBA,2018-03-14,19.09
14002170,UBA,2018-03-15,19.22
14002171,UBA,2018-03-16,19.4
14002172,UBA,2018-03-19,19.44
14002173,UBA,2018-03-20,19.18
14002174,UBA,2018-03-21,19.13
14002175,UBA,2018-03-22,19.27
14002176,UBA,2018-03-23,19.1
14002177,UBA,2018-03-26,19.09
14002178,UBA,2018-03-27,19.3
14005334,UBNK,2018-03-02,15.8
14005335,UBNK,2018-03-05,15.85
14005336,UBNK,2018-03-06,15.86
14005337,UBNK,2018-03-07,15.94
14005338,UBNK,2018-03-08,15.8
14005339,UBNK,2018-03-09,16.55
14005340,UBNK,2018-03-12,16.52
14005341,UBNK,2018-03-13,16.31
14005342,UBNK,2018-03-14,16.15
14005343,UBNK,2018-03-15,16.42
14005344,UBNK,2018-03-16,16.48
14005345,UBNK,2018-03-19,16.5
14005346,UBNK,2018-03-20,16.3
14005347,UBNK,2018-03-21,16.5
14005348,UBNK,2018-03-22,16.24
14005349,UBNK,2018-03-23,15.88
14005350,UBNK,2018-03-26,16.25
14005351,UBNK,2018-03-27,16.15
14006955,UBNT,2018-03-02,67.4
14006956,UBNT,2018-03-05,69.06
14006957,UBNT,2018-03-06,69.85
14006958,UBNT,2018-03-07,69.33
14006959,UBNT,2018-03-08,70.34
14006960,UBNT,2018-03-09,69.97
14006961,UBNT,2018-03-12,69.84
14006962,UBNT,2018-03-13,70.73
14006963,UBNT,2018-03-14,69.82
14006964,UBNT,2018-03-15,70.87
14006965,UBNT,2018-03-16,71.29
14006966,UBNT,2018-03-19,69.83
14006967,UBNT,2018-03-20,71.94
14006968,UBNT,2018-03-21,70.5
14006969,UBNT,2018-03-22,70.19
14006970,UBNT,2018-03-23,68.14
14006971,UBNT,2018-03-26,70.37
14006972,UBNT,2018-03-27,68.86
14012645,UBSH,2018-03-02,38.0
14012646,UBSH,2018-03-05,38.06
14012647,UBSH,2018-03-06,39.01
14012648,UBSH,2018-03-07,39.13
14012649,UBSH,2018-03-08,38.85
14012650,UBSH,2018-03-09,39.4
14012651,UBSH,2018-03-12,39.1
14012652,UBSH,2018-03-13,39.71
14012653,UBSH,2018-03-14,39.27
14012654,UBSH,2018-03-15,39.27
14012655,UBSH,2018-03-16,39.58
14012656,UBSH,2018-03-19,39.15
14012657,UBSH,2018-03-20,38.78
14012658,UBSH,2018-03-21,38.9
14012659,UBSH,2018-03-22,37.86
14012660,UBSH,2018-03-23,36.31
14012661,UBSH,2018-03-26,37.21
14012662,UBSH,2018-03-27,36.63
14019701,UBSI,2018-03-02,36.3
14019702,UBSI,2018-03-05,37.25
14019703,UBSI,2018-03-06,37.35
14019704,UBSI,2018-03-07,37.75
14019705,UBSI,2018-03-08,37.05
14019706,UBSI,2018-03-09,37.2
14019707,UBSI,2018-03-12,37.4
14019708,UBSI,2018-03-13,37.2
14019709,UBSI,2018-03-14,36.95
14019710,UBSI,2018-03-15,37.2
14019711,UBSI,2018-03-16,37.6
14019712,UBSI,2018-03-19,37.4
14019713,UBSI,2018-03-20,36.95
14019714,UBSI,2018-03-21,36.75
14019715,UBSI,2018-03-22,35.65
14019716,UBSI,2018-03-23,34.5
14019717,UBSI,2018-03-26,35.35
14019718,UBSI,2018-03-27,34.95
14023733,UCBI,2018-03-02,31.57
14023734,UCBI,2018-03-05,31.87
14023735,UCBI,2018-03-06,32.1
14023736,UCBI,2018-03-07,32.51
14023737,UCBI,2018-03-08,32.35
14023738,UCBI,2018-03-09,33.27
14023739,UCBI,2018-03-12,33.36
14023740,UCBI,2018-03-13,33.03
14023741,UCBI,2018-03-14,32.56
14023742,UCBI,2018-03-15,33.03
14023743,UCBI,2018-03-16,33.25
14023744,UCBI,2018-03-19,33.2
14023745,UCBI,2018-03-20,33.19
14023746,UCBI,2018-03-21,33.26
14023747,UCBI,2018-03-22,32.36
14023748,UCBI,2018-03-23,30.86
14023749,UCBI,2018-03-26,31.81
14023750,UCBI,2018-03-27,31.06
14028694,UCFC,2018-03-02,9.44
14028695,UCFC,2018-03-05,9.56
14028696,UCFC,2018-03-06,9.58
14028697,UCFC,2018-03-07,9.77
14028698,UCFC,2018-03-08,9.7
14028699,UCFC,2018-03-09,9.8
14028700,UCFC,2018-03-12,9.87
14028701,UCFC,2018-03-13,9.95
14028702,UCFC,2018-03-14,9.89
14028703,UCFC,2018-03-15,9.94
14028704,UCFC,2018-03-16,10.04
14028705,UCFC,2018-03-19,10.05
14028706,UCFC,2018-03-20,9.95
14028707,UCFC,2018-03-21,9.99
14028708,UCFC,2018-03-22,9.86
14028709,UCFC,2018-03-23,9.55
14028710,UCFC,2018-03-26,9.89
14028711,UCFC,2018-03-27,9.78
14033239,UCTT,2018-03-02,19.83
14033240,UCTT,2018-03-05,19.71
14033241,UCTT,2018-03-06,20.69
14033242,UCTT,2018-03-07,20.31
14033243,UCTT,2018-03-08,20.14
14033244,UCTT,2018-03-09,21.26
14033245,UCTT,2018-03-12,21.24
14033246,UCTT,2018-03-13,20.79
14033247,UCTT,2018-03-14,20.9
14033248,UCTT,2018-03-15,20.81
14033249,UCTT,2018-03-16,20.66
14033250,UCTT,2018-03-19,20.14
14033251,UCTT,2018-03-20,20.34
14033252,UCTT,2018-03-21,20.83
14033253,UCTT,2018-03-22,19.81
14033254,UCTT,2018-03-23,19.07
14033255,UCTT,2018-03-26,20.45
14033256,UCTT,2018-03-27,18.8
14040308,UDR,2018-03-02,33.38
14040309,UDR,2018-03-05,33.67
14040310,UDR,2018-03-06,33.88
14040311,UDR,2018-03-07,34.15
14040312,UDR,2018-03-08,34.48
14040313,UDR,2018-03-09,35.24
14040314,UDR,2018-03-12,35.32
14040315,UDR,2018-03-13,35.41
14040316,UDR,2018-03-14,35.54
14040317,UDR,2018-03-15,35.67
14040318,UDR,2018-03-16,35.96
14040319,UDR,2018-03-19,35.65
14040320,UDR,2018-03-20,35.43
14040321,UDR,2018-03-21,35.29
14040322,UDR,2018-03-22,34.77
14040323,UDR,2018-03-23,34.14
14040324,UDR,2018-03-26,34.45
